file_name,cells_num,MAE,IOU,Cells area error %
BG-11-225-02-25-20-23-24,38,46,0.94,1.715
BG-11-225-02-25-20-23-32,30,21,0.981,0.09
BG-11-225-02-25-20-23-39,36,43,0.974,0.519
BG-11-225-02-25-20-23-44,32,24,0.978,0.156
BG-11-225-02-25-20-23-59,35,32,0.872,4.762
BG-11-225-02-25-20-24-05,32,46,0.972,0.386
BG-11-225-02-25-20-24-10,31,37,0.97,0.074
BG-11-225-02-25-20-24-16,49,53,0.953,0.6
BG-11-225-02-25-20-24-25,39,57,0.96,0.785
BG-11-225-02-25-20-25-16,35,51,0.961,0.408
BG-11-225-02-25-20-25-24,27,34,0.974,0.077
BG-11-225-02-25-20-25-36,40,50,0.934,1.157
BG-11-225-02-25-20-25-52,33,49,0.964,0.204
BG-11-225-02-25-20-26-20,25,54,0.953,1.533
BG-11-225-02-25-20-26-28,35,59,0.963,0.304
BG-11-225-02-25-20-26-37,33,39,0.96,1.215
BG-11-225-02-25-20-26-42,29,16,0.982,0.18
BG-11-225-02-25-20-26-48,35,30,0.976,0.023
BG-11-225-02-25-20-26-59,33,22,0.98,0.249
BG-11-225-02-25-20-27-05,34,43,0.971,0.613
BG-11-225-02-25-20-27-12,33,41,0.971,0.413
BG-11-225-02-25-20-27-21,38,53,0.959,1.184
BG-11-225-02-25-20-27-34,30,43,0.946,2.178
BG-11-225-02-25-20-27-42,27,33,0.944,3.289
BG-11-225-02-25-20-27-49,30,42,0.944,2.185
BG-11-225-02-25-20-27-56,26,37,0.978,0.415
BG-11-225-02-25-20-28-03,45,49,0.961,0.379
BG-11-225-02-25-20-28-10,26,19,0.981,0.179
BG-11-225-02-25-20-28-18,27,25,0.909,5.272
BG-11-225-02-25-20-28-27,24,19,0.98,0.525
BG-11-225-02-25-20-28-40,45,25,0.974,0.086
BG-11-225-02-25-20-28-45,33,34,0.98,0.298
BG-11-225-02-25-20-29-08,33,38,0.962,0.694
BG-11-225-02-25-20-29-19,34,35,0.974,0.001
BG-11-225-02-25-20-29-23,31,40,0.957,0.784
BG-11-225-02-25-20-29-30,32,33,0.965,0.503
BG-11-225-02-25-20-29-41,27,27,0.884,3.859
BG-11-225-02-25-20-29-50,30,20,0.823,4.507
BG-11-225-02-25-20-29-54,31,26,0.883,2.585
BG-11-225-02-25-20-30-03,39,6,0.948,0.217
BG-11-225-02-25-20-30-07,40,2,0.949,0.232
BG-11-225-02-25-20-30-16,27,2,0.949,0.435
BG-11-225-02-25-20-30-23,25,15,0.946,0.284
BG-1125-02-25-19-51-59,30,65,0.848,9.408
BG-1125-02-25-19-52-16,39,48,0.885,4.231
BG-1125-02-25-19-52-22,30,27,0.923,3.938
BG-1125-02-25-19-52-36,15,64,0.72,41.704
BG-1125-02-25-19-52-51,27,39,0.958,2.464
BG-1125-02-25-19-53-01,20,24,0.943,3.616
BG-1125-02-25-19-53-13,30,57,0.944,1.776
BG-1125-02-25-19-53-43,32,30,0.966,0.839
BG-1125-02-25-20-00-34,26,48,0.915,4.333
BG-1125-02-25-20-00-41,45,29,0.914,3.088
BG-1125-02-25-20-00-48,42,54,0.92,3.093
BG-1125-02-25-20-00-53,47,77,0.892,3.684
BG-1125-02-25-20-00-57,40,65,0.916,3.287
BG-1125-02-25-20-01-02,25,79,0.859,6.518
BG-1125-02-25-20-01-08,27,52,0.882,6.251
BG-1125-02-25-20-01-19,28,63,0.856,7.479
BG-1125-02-25-20-01-32,25,85,0.856,8.524
BG-1125-02-25-20-01-39,31,66,0.886,6.885
BG-1125-02-25-20-01-44,29,63,0.877,6.069
BG-1125-02-25-20-01-50,30,60,0.873,4.401
BG-1125-02-25-20-01-57,35,72,0.849,5.944
BG-1125-02-25-20-02-03,35,69,0.844,6.021
BG-1125-02-25-20-02-10,26,66,0.792,10.392
BG-1125-02-25-20-02-16,28,67,0.861,7.23
BG-1125-02-25-20-02-21,42,76,0.884,3.576
BG-1125-02-25-20-02-26,43,54,0.892,3.609
BG-1125-02-25-20-02-31,33,45,0.901,3.807
BG-1125-02-25-20-02-36,51,49,0.884,3.259
BG-1125-02-25-20-02-43,47,58,0.889,2.753
BG-1125-02-25-20-02-58,34,47,0.932,2.258
BG-1125-02-25-20-03-03,35,35,0.936,2.596
BG-1125-02-25-20-03-10,31,50,0.932,2.915
BG-1125-02-25-20-03-15,25,41,0.931,4.113
BG-1125-02-25-20-03-22,37,80,0.893,3.792
BG-1125-02-25-20-03-29,33,50,0.927,3.166
